highway_cleaned,length
motorway,820.736773021808
motorway_link,379.88168907074817
trunk,116.67781115761048
primary,106.81271521888455
unclassified,106.39831757651729
secondary,75.77926094892696
tertiary,62.373547606627426
residential,55.43337674958195
living_street,44.748267305869945
trunk_link,36.41527567344917
tertiary_link,33.9515931993991
secondary_link,30.43031145299801
primary_link,27.34035308727679
