u,v,key,osmid,highway,maxspeed,name,oneway,ref,reversed,length,geometry,lanes,access,bridge,junction,tunnel,area,width,service
2852573290,3618932415,0,281277501,residential,,,False,,True,25.91086922691485,"LINESTRING (78.4569165 17.5257294, 78.4569946 17.5259502)",,,,,,,,
1595306317,2586551489,0,252604840,residential,,,False,,False,89.24188200969917,"LINESTRING (78.577299 17.3796193, 78.5773307 17.3788173)",,,,,,,,
2222562456,2222562460,0,212406423,residential,,,False,,False,53.87996172002738,"LINESTRING (78.5395707 17.4820212, 78.5390629 17.4820354)",,,,,,,,
2225282668,2225282688,0,363183987,residential,,,False,,False,43.46246002631788,"LINESTRING (78.5446657 17.4619065, 78.5443305 17.4621313)",,,,,,,,
3059817582,3059817578,0,266971668,residential,,,False,,False,46.141527096704365,"LINESTRING (78.5900225 17.330918, 78.5897838 17.3305712)",,,,,,,,
3612563018,12240901746,0,822236004,residential,,,False,,True,33.71301550764746,"LINESTRING (78.540443 17.3883193, 78.5404049 17.3886203)",,,,,,,,
1820079643,1820079933,0,170868731,residential,,,False,,False,68.81657527058084,"LINESTRING (78.460691 17.4024279, 78.4613121 17.4022497)",,,,,,,,
4183348484,4183348483,0,419634728,residential,,,False,,False,40.04747379287274,"LINESTRING (78.3921711 17.3066309, 78.3925077 17.3064683)",,,,,,,,
3602307051,3602307393,0,354538452,residential,,,False,,True,205.97801018282772,"LINESTRING (78.4125819 17.4517202, 78.412706 17.4519624, 78.4128077 17.4521563, 78.4129423 17.452518, 78.4131447 17.4531557, 78.413152 17.4531859, 78.4132178 17.4534638)",,,,,,,,
2782950542,2782950537,0,273446156,residential,,,False,,True,38.240637542193554,"LINESTRING (78.5165757 17.5326197, 78.5165778 17.5322758)",,,,,,,,
11072603378,10696260888,0,1192821195,residential,,,False,,False,16.6461277765667,"LINESTRING (78.2716123 17.543079, 78.271647 17.542933)",,,,,,,,
3612565091,3612565051,0,355708279,residential,,,False,,False,25.70091531796702,"LINESTRING (78.4581216 17.3915755, 78.4580431 17.3915155, 78.4579815 17.391469, 78.45796 17.3914124)",,,,,,,,
2234832767,6507575293,0,126749233,residential,,,False,,True,49.82621399720137,"LINESTRING (78.5050101 17.410308, 78.5048865 17.4104006, 78.5048767 17.4104177, 78.5048735 17.4104335, 78.5048983 17.410695)",,,,,,,,
4193188222,4193188221,0,1160123731,tertiary,,,False,,False,119.525521862966,"LINESTRING (78.3251498 17.4951854, 78.3257215 17.4951993, 78.3262766 17.4951911)",,,,,,,,
3602333276,3550347990,0,281313186,residential,,,False,,False,5.399242750541541,"LINESTRING (78.434172 17.5205069, 78.4342046 17.5205442)",,,,,,,,
7701055747,12213784934,0,355689231,residential,,,False,,False,32.38157414698667,"LINESTRING (78.4446301 17.3336646, 78.4446271 17.3333734)",,,,,,,,
12829693997,7697762874,0,281256789,residential,,,False,,False,37.02878980061743,"LINESTRING (78.5635785 17.4961633, 78.5635635 17.496496)",,,,,,,,
2232093856,2232093851,0,213532177,residential,,,False,,True,57.794651151719606,"LINESTRING (78.3358157 17.4710097, 78.3362072 17.4710176, 78.3363605 17.4710161)",,,,,,,,
2245835777,2245835782,0,215166751,residential,,,False,,False,79.79131208496123,"LINESTRING (78.5276281 17.3642677, 78.5283731 17.3643643)",,,,,,,,
3612563040,2852234399,0,355697918,residential,,,False,,False,23.502580246152476,"LINESTRING (78.4564928 17.3883688, 78.4567084 17.3883204)",,,,,,,,
4470952250,4573360873,0,461899209,residential,,,False,,True,42.07379013043118,"LINESTRING (78.5817587 17.3078148, 78.5813834 17.3079364)",,,,,,,,
2101680123,2101680116,0,200172268,residential,,,False,,False,168.5455534926125,"LINESTRING (78.3514827 17.4571154, 78.3517395 17.4575842, 78.3519937 17.4580483, 78.3522208 17.4584577)",,,,,,,,
1404714966,3598255214,0,126812071,residential,,,False,,True,44.0014530218342,"LINESTRING (78.4992603 17.4235794, 78.4988591 17.4236797)",,,,,,,,
13388573134,3579912060,0,352233605,residential,,,False,,True,56.90135523711688,"LINESTRING (78.408999 17.3982964, 78.4087595 17.3983236, 78.4087384 17.3983192, 78.4087301 17.3983104, 78.4087254 17.3982872, 78.4086918 17.398064)",,,,,,,,
3579906647,3579906642,0,419435569,tertiary,,ambience Road,False,,True,41.73323287763734,"LINESTRING (78.4241895 17.3712207, 78.4237974 17.371192)",,,,,,,,
7686553661,7686301353,0,823300213,residential,,,False,,False,45.27478403075087,"LINESTRING (78.5004395 17.5225563, 78.5000156 17.5226051)",,,,,,,,
3598379848,4819967069,0,489784132,residential,,,False,,True,67.91906100710047,"LINESTRING (78.5508166 17.3176606, 78.5505248 17.3178662, 78.5503008 17.318022)",,,,,,,,
2852504568,3612545985,0,281272600,residential,,,False,,False,156.6977112353871,"LINESTRING (78.4535208 17.3419497, 78.453691 17.342447, 78.4537098 17.3424636, 78.453742 17.3424726, 78.4540223 17.3423241, 78.4540373 17.3423292, 78.454054 17.3423481, 78.4540702 17.3428315)",,,,,,,,
11890798592,11890798593,0,1281086190,residential,,,False,,False,37.53675625772174,"LINESTRING (78.5738718 17.4919738, 78.5740369 17.4922724)",,,,,,,,
2231531892,2231636570,0,213462442,residential,,,False,,False,49.56447351364928,"LINESTRING (78.5580549 17.4919655, 78.557602 17.4920755)",,,,,,,,
4267775543,3670021857,0,31658286,residential,,,False,,False,16.30308777236056,"LINESTRING (78.4295235 17.4337281, 78.4293708 17.4337446)",,,,,,,,
3598276204,3598276262,0,354037944,residential,,,False,,True,28.595856001159603,"LINESTRING (78.4424665 17.4870487, 78.4424078 17.4872997)",,,,,,,,
3612544535,3612544668,0,355697834,residential,,,False,,True,79.79931248171013,"LINESTRING (78.4690105 17.3360174, 78.4689718 17.3367341)",,,,,,,,
13345188962,13345188961,0,1455206870,living_street,,,False,,True,14.706727081189692,"LINESTRING (78.4404149 17.3739461, 78.4402765 17.3739529)",,,,,,,,
3612556329,3612556304,0,355704945,residential,,,False,,False,8.314701730063208,"LINESTRING (78.5167961 17.3711174, 78.5167801 17.3710442)",,,,,,,,
3612541502,7682313051,0,355706461,residential,,,False,,True,19.64701000980901,"LINESTRING (78.4608154 17.3252397, 78.4607064 17.3253825)",,,,,,,,
1327810070,1327809924,0,146345436,tertiary,,Kamineni Hospital Road,False,,False,47.72116110731465,"LINESTRING (78.5675478 17.3468417, 78.567887 17.34656)",2,,,,,,,
2222050222,2222050220,0,212344607,tertiary,,Bhel MIG Road,False,,False,39.145432745186646,"LINESTRING (78.2994776 17.4816674, 78.29911 17.4816358)",,,,,,,,
